id,topic_id,title,content,created_at
000001001,000001,O que é Redação,,2026-07-12 03:12:57.305322+00
000001002,000001,Finalidade da Redação,,2026-07-12 03:12:57.305322+00
000001003,000001,Adequação ao Tema,,2026-07-12 03:12:57.305322+00
000001004,000001,Adequação ao Gênero,,2026-07-12 03:12:57.305322+00
000001005,000001,Clareza e Objetividade,,2026-07-12 03:12:57.305322+00
000001006,000001,Impessoalidade,,2026-07-12 03:12:57.305322+00
000001007,000001,Norma-Padrão na Escrita,,2026-07-12 03:12:57.305322+00
000001008,000001,Planejamento da Redação,,2026-07-12 03:12:57.305322+00
000001009,000001,Revisão e Reescrita,,2026-07-12 03:12:57.305322+00
000002001,000002,Narração,,2026-07-12 03:12:57.305322+00
000002002,000002,Descrição,,2026-07-12 03:12:57.305322+00
000002003,000002,Dissertação,,2026-07-12 03:12:57.305322+00
000002004,000002,Dissertação Argumentativa,,2026-07-12 03:12:57.305322+00
000002005,000002,Dissertação Expositiva,,2026-07-12 03:12:57.305322+00
000002006,000002,Exposição,,2026-07-12 03:12:57.305322+00
000002007,000002,Injunção,,2026-07-12 03:12:57.305322+00
000003001,000003,Artigo de Opinião,,2026-07-12 03:12:57.305322+00
000003002,000003,Carta,,2026-07-12 03:12:57.305322+00
000003003,000003,Carta Aberta,,2026-07-12 03:12:57.305322+00
000003004,000003,Editorial,,2026-07-12 03:12:57.305322+00
000003005,000003,Crônica,,2026-07-12 03:12:57.305322+00
000003006,000003,Resenha,,2026-07-12 03:12:57.305322+00
000003007,000003,Relatório,,2026-07-12 03:12:57.305322+00
000003008,000003,Parecer,,2026-07-12 03:12:57.305322+00
000003009,000003,E-mail,,2026-07-12 03:12:57.305322+00
000003010,000003,Notícia,,2026-07-12 03:12:57.305322+00
000003011,000003,Reportagem,,2026-07-12 03:12:57.305322+00
000004001,000004,Introdução,,2026-07-12 03:12:57.305322+00
000004002,000004,Desenvolvimento,,2026-07-12 03:12:57.305322+00
000004003,000004,Conclusão,,2026-07-12 03:12:57.305322+00
